Source,Target,network,Type
subject,pressur,both,Undirected
subject,area,both,Undirected
subject,parent,2,Undirected
subject,child,both,Undirected
1996,elect,both,Undirected
summer,friend,2,Undirected
1943,summer,2,Undirected
1943,parent,1,Undirected
youth,young,both,Undirected
youth,1943,1,Undirected
price,cost,both,Undirected
growth,pay,2,Undirected
growth,develop,both,Undirected
teacher,base,both,Undirected
teacher,abstin,both,Undirected
teacher,age-appropri,both,Undirected
school,year,1,Undirected
school,entir,both,Undirected
school,pressur,both,Undirected
school,student,both,Undirected
school,10%,both,Undirected
parent,list,1,Undirected
parent,contribut,1,Undirected
parent,subject,1,Undirected
parent,dear,1,Undirected
parent,1996,1,Undirected
parent,summer,1,Undirected
student,500,both,Undirected
student,50,both,Undirected
aid,std,1,Undirected
aid,activ,1,Undirected
aid,support,1,Undirected
make,execut,both,Undirected
make,start,1,Undirected
skill,compon,both,Undirected
skill,resolut,both,Undirected
skill,accomplish,both,Undirected
child,issu,both,Undirected
child,individu,both,Undirected
educ,activ,both,Undirected
educ,develop,both,Undirected
educ,teacher,both,Undirected
educ,school,both,Undirected
educ,student,both,Undirected
educ,aids/std,both,Undirected
educ,aid,1,Undirected
educ,make,both,Undirected
educ,program,both,Undirected
educ,provid,both,Undirected
life,time,both,Undirected
life,individu,both,Undirected
life,person,both,Undirected
life,make,both,Undirected
life,skill,both,Undirected
life,child,both,Undirected
life,educ,both,Undirected
famili,home,both,Undirected
famili,peopl,both,Undirected
famili,life,both,Undirected
famili,unit,both,Undirected
unit,way,both,Undirected
unit,compon,both,Undirected
central,workplac,both,Undirected
central,indiana,both,Undirected
gift,offer,2,Undirected
gift,accomplish,both,Undirected
gift,thus,both,Undirected
gift,individu,both,Undirected
gift,activ,both,Undirected
gift,contribut,1,Undirected
gift,aid,1,Undirected
gift,help,both,Undirected
program,budget,both,Undirected
program,level,2,Undirected
program,hour,both,Undirected
program,pay,both,Undirected
program,develop,both,Undirected
program,area,both,Undirected
program,three,both,Undirected
program,one,both,Undirected
program,growth,both,Undirected
program,in-school,both,Undirected
program,school,both,Undirected
program,student,2,Undirected
help,offer,2,Undirected
help,promot,both,Undirected
help,thank,both,Undirected
help,reach,1,Undirected
help,activ,both,Undirected
help,aid,1,Undirected
help,make,both,Undirected
help,support,both,Undirected
provid,offer,2,Undirected
provid,friend,2,Undirected
provid,youth,2,Undirected
provid,price,both,Undirected
provid,growth,both,Undirected
provid,in-school,both,Undirected
provid,teacher,both,Undirected
provid,school,both,Undirected
provid,parent,1,Undirected
provid,skill,both,Undirected
provid,program,both,Undirected
provid,support,both,Undirected
provid,help,both,Undirected
indiana,10%,both,Undirected
indiana,unit,both,Undirected
health,gift,both,Undirected
health,program,both,Undirected
health,support,both,Undirected
associ,friend,2,Undirected
associ,particip,both,Undirected
associ,famili,both,Undirected
associ,unit,both,Undirected
associ,support,both,Undirected
associ,help,both,Undirected
associ,provid,both,Undirected
associ,indiana,both,Undirected
associ,health,both,Undirected
social,educ,both,Undirected
social,health,both,Undirected
social,associ,both,Undirected
